country,id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Cyprus,196,2314000000,2242000000,2319000000,2321000000,2447000000,2611000000,3317000000,3979000000,4589000000,4901000000,6003000000,6195000000,7424000000,7098000000,8004000000,9937000000,10016000000,9544000000,10251000000,10502000000,9988000000,10397000000,11422000000,14552000000,17328000000,18713000000,20422000000,24082000000,27955000000,26020000000,25821000000,27637000000,25063000000,23960000000,23232000000,19911000000,21041000000,22938000000,25766000000,26200000000,25535000000,30393000000,31001000000,33897000000,36156000000,38736000000,40629000000,42439000000,44334000000,46381000000,48528000000
Czech Republic,203,,,,,,,,,,,,,,,,60565000000,67805000000,62530000000,67161000000,65586000000,62171000000,68136000000,82596000000,100471000000,120148000000,137264000000,156236000000,189845000000,236820000000,207095000000,211169000000,231429000000,210363000000,213024000000,210911000000,189108000000,198161000000,221564000000,251992000000,256794000000,251110000000,290973000000,301831000000,343207000000,344931000000,360244000000,376684000000,390799000000,406038000000,422083000000,438859000000
Côte d'Ivoire,384,13877000000,11502000000,10320000000,9312000000,9284000000,9470000000,12675000000,13944000000,14092000000,13487000000,14923000000,14504000000,15416000000,15268000000,11492000000,15205000000,16780000000,16203000000,17433000000,17114000000,14851000000,15485000000,17148000000,21206000000,22924000000,23626000000,24628000000,28158000000,33621000000,33693000000,34431000000,35529000000,37030000000,43228000000,48882000000,45815000000,48408000000,52512000000,58522000000,60383000000,63119000000,72833000000,71075000000,79630000000,87096000000,94483000000,103102000000,111880000000,121578000000,132669000000,144524000000
Denmark,208,70811000000,61460000000,60084000000,60331000000,58869000000,62452000000,87749000000,109183000000,115540000000,112312000000,138219000000,139182000000,152966000000,143110000000,156019000000,184850000000,187482000000,173242000000,176876000000,177887000000,164043000000,164881000000,178788000000,218422000000,251988000000,265150000000,283387000000,320213000000,354977000000,322621000000,322346000000,344316000000,326793000000,344631000000,352833000000,301759000000,312182000000,331611000000,355293000000,345402000000,355631000000,408378000000,401946000000,407092000000,429458000000,449940000000,473665000000,493376000000,512752000000,533284000000,554224000000
Djibouti,262,,,,,,,,,,,635000000,650000000,672000000,655000000,691000000,699000000,694000000,706000000,722000000,759000000,781000000,811000000,837000000,882000000,936000000,996000000,1080000000,1191000000,1382000000,1426000000,1544000000,1740000000,1901000000,2044000000,2221000000,2424000000,2605000000,2763000000,2913000000,3089000000,3144000000,3393000000,3563000000,3917000000,4257000000,4587000000,4959000000,5335000000,5745000000,6126000000,6596000000
Dominica,212,73000000,82000000,90000000,99000000,109000000,119000000,135000000,152000000,171000000,185000000,201000000,220000000,234000000,246000000,264000000,275000000,292000000,303000000,322000000,332000000,333000000,340000000,333000000,343000000,367000000,364000000,390000000,421000000,458000000,489000000,494000000,501000000,486000000,498000000,520000000,541000000,576000000,522000000,555000000,612000000,504000000,555000000,607000000,654000000,697000000,742000000,782000000,821000000,860000000,899000000,939000000
Dominican Republic,214,8672000000,9698000000,9141000000,9461000000,14870000000,6496000000,7891000000,8305000000,7605000000,8589000000,7995000000,9887000000,11605000000,13081000000,14645000000,16637000000,18242000000,20017000000,21672000000,22137000000,24306000000,25602000000,27249000000,21518000000,22506000000,35948000000,37998000000,44067000000,48174000000,48281000000,53862000000,58006000000,60627000000,62631000000,67098000000,71056000000,75625000000,79153000000,85068000000,89237000000,78625000000,95067000000,113813000000,120794000000,124613000000,127828000000,135112000000,144828000000,155291000000,166422000000,178498000000
Ecuador,218,16116000000,16501000000,16474000000,14478000000,15408000000,18020000000,13222000000,12355000000,11749000000,11531000000,11710000000,13139000000,14367000000,16783000000,20238000000,21980000000,23001000000,25847000000,26292000000,18891000000,17531000000,23127000000,27054000000,30965000000,35195000000,40279000000,45691000000,49849000000,61139000000,60095000000,68151000000,78987000000,87735000000,96570000000,102718000000,97210000000,97671000000,104467000000,107479000000,107596000000,95865000000,107179000000,116133000000,121147000000,121728000000,125677000000,130310000000,135350000000,140863000000,146638000000,152588000000
Egypt,818,23523000000,25760000000,30479000000,37254000000,41888000000,48841000000,54076000000,77359000000,92530000000,115362000000,96087000000,48431000000,44168000000,49526000000,54550000000,63250000000,71118000000,79777000000,89189000000,95039000000,104752000000,102273000000,90261000000,85163000000,82855000000,94127000000,112902000000,137055000000,170797000000,198316000000,230024000000,247726000000,294482000000,303194000000,321634000000,350119000000,351443000000,246826000000,263156000000,317894000000,382525000000,423300000000,475231000000,393828000000,383109000000,347342000000,389040000000,432812000000,480602000000,532288000000,586889000000
El Salvador,222,3912000000,3449000000,3406000000,3261000000,2385000000,2319000000,2335000000,2374000000,2771000000,3167000000,4818000000,5252000000,5813000000,6680000000,7679000000,8922000000,9586000000,10222000000,10937000000,11284000000,11785000000,12283000000,12664000000,13244000000,13725000000,14698000000,16000000000,17012000000,17987000000,17602000000,18448000000,20284000000,21386000000,21991000000,22593000000,23438000000,24191000000,24979000000,26021000000,26881000000,24921000000,29043000000,31989000000,34016000000,35337000000,36749000000,38476000000,40354000000,42364000000,44312000000,46436000000
